Datas,Casos confirmados
2020-04-29,376
2020-04-30,422
2020-05-02,436
2020-05-03,449
2020-05-04,468
2020-05-05,527
2020-05-07,539
2020-05-08,578
2020-05-11,658
2020-05-12,700
2020-05-13,706
2020-05-14,755
2020-05-15,765
2020-05-16,778
2020-05-17,781
2020-05-19,797
2020-05-20,819
2020-05-21,854
2020-05-22,886
2020-05-23,894
2020-05-25,910
2020-05-27,959
2020-05-28,965
2020-05-29,1001
2020-05-30,1009
2020-06-01,1047
2020-06-02,1085
2020-06-03,1103
2020-06-04,1108
2020-06-05,1206
2020-06-07,1268
2020-06-08,1290
2020-06-10,1425
2020-06-11,1958
2020-06-12,2005
2020-06-13,2123
2020-06-15,2150
2020-06-16,2267
2020-06-21,3038
2020-06-22,3130
2020-06-23,3551
2020-06-24,3802
2020-06-26,4042
2020-06-29,4365
2020-06-30,4470
2020-07-02,4703
2020-07-16,6342
2020-07-17,6416
2020-07-19,6916
2020-07-20,7192
2020-07-22,7327
2020-07-31,10191
2020-08-04,11787
2020-08-08,13760
2020-08-12,15014
2020-08-17,16311
2020-08-20,17772
